Collection,Date,SalesUSD
Axie Infinity,2022-04-21,641470
Axie Infinity,2022-04-11,783847
Axie Infinity,2022-04-11,711132
Axie Infinity,2022-04-11,713142
Axie Infinity,2022-04-11,713142
Axie Infinity,2022-04-11,729153
Axie Infinity,2022-04-11,731765
Axie Infinity,2022-04-11,735791
Axie Infinity,2022-04-11,748714
Axie Infinity,2022-04-11,692039
Axie Infinity,2022-04-11,706574
Axie Infinity,2022-04-11,728502
Axie Infinity,2022-04-11,712693
Axie Infinity,2022-04-13,632171
Axie Infinity,2022-04-13,642029
Axie Infinity,2022-04-14,619644
Axie Infinity,2022-04-14,626097
Axie Infinity,2022-04-15,646601
Axie Infinity,2022-04-15,595449
Axie Infinity,2022-04-16,532632
Axie Infinity,2022-04-16,553192
Axie Infinity,2022-04-17,530593
Axie Infinity,2022-04-17,521440
Axie Infinity,2022-04-17,527112
Axie Infinity,2022-04-17,556584
Axie Infinity,2022-04-18,636398
Axie Infinity,2022-04-22,713782
Axie Infinity,2022-04-23,711389
Axie Infinity,2022-04-22,670596
